,Open,High,Low,Close,Volume
2025-06-06,470.09,473.34,468.78,470.38,15278600.0
2025-06-09,469.7,473.43,468.62,472.75,16456400.0
2025-06-10,471.19,472.8,466.96,470.92,15361500.0
2025-06-11,470.02,475.47,469.66,472.62,16376800.0
2025-06-12,475.02,480.42,473.52,478.87,18909400.0
2025-06-13,476.41,479.18,472.76,474.96,16806900.0
2025-06-16,475.21,480.69,475.0,479.14,15580000.0
2025-06-17,475.4,478.74,474.08,478.04,15384700.0
2025-06-18,478.0,481.0,474.46,480.24,17513200.0
2025-06-20,482.23,483.46,476.87,477.4,37576206.0
2025-06-23,478.21,487.75,472.51,486.0,24813200.0
2025-06-24,488.95,491.85,486.8,490.11,22299100.0
2025-06-25,492.04,494.56,489.39,492.27,17475600.0
2025-06-26,492.98,498.04,492.81,497.45,21549200.0
2025-06-27,497.55,499.3,493.03,495.94,34532600.0
2025-06-30,497.04,500.76,495.33,497.41,28358400.0
2025-07-01,496.47,498.05,490.98,492.05,19929500.0
2025-07-02,489.99,493.5,488.7,491.09,16310800.0
2025-07-03,493.81,500.13,493.44,498.84,13984829.0
2025-07-07,497.38,498.75,495.225,497.72,13791130.0
2025-07-08,497.24,498.2,494.11,496.62,11838500.0
2025-07-09,500.3,506.78,499.74,503.51,18641200.0
2025-07-10,503.05,504.44,497.75,501.48,16492100.0
2025-07-11,498.47,505.03,497.8,503.32,16455000.0
2025-07-14,501.52,503.97,501.03,503.02,12052100.0
2025-07-15,503.02,508.3,502.79,505.82,14906100.0
2025-07-16,505.18,506.72,501.89,505.62,15146200.0
2025-07-17,505.68,513.37,505.62,511.7,17491600.0
2025-07-18,514.48,514.64,507.43,510.05,21203400.0
2025-07-21,506.71,512.09,505.55,510.06,14057700.0
2025-07-22,510.97,511.2,505.27,505.27,13845300.0
2025-07-23,506.75,506.79,500.7,505.87,16388300.0
2025-07-24,508.77,513.67,507.3,510.88,16097400.0
2025-07-25,512.47,518.29,510.36,513.71,19106400.0
2025-07-28,514.08,515.0,510.12,512.5,14293300.0
2025-07-29,515.53,517.62,511.56,512.57,16444700.0
2025-07-30,515.17,515.95,509.44,513.24,25931800.0
2025-07-31,555.23,555.45,531.9,533.5,51500000.0
2025-08-01,535.0,535.8,520.86,524.11,28955600.0
2025-08-04,528.27,538.25,528.13,535.64,25328300.0
2025-08-05,537.18,537.3,527.24,527.75,19144000.0
2025-08-06,530.9,531.7,524.03,524.94,21322500.0
2025-08-07,526.8,528.09,517.55,520.84,16056600.0
2025-08-08,522.6,524.66,519.41,522.04,15516600.0
2025-08-11,522.3,527.59,519.72,521.77,20180800.0
2025-08-12,523.75,530.98,522.7,529.24,18667000.0
2025-08-13,532.11,532.7,519.37,520.58,19587300.0
2025-08-14,522.405,525.9499,520.14,522.48,19604250.0
2025-08-15,522.77,526.1,519.08,520.17,25191800.0
2025-08-18,521.59,522.82,514.02,517.1,23745000.0
2025-08-19,515.0,515.16,508.55,509.77,21452200.0
2025-08-20,509.87,511.0,504.44,505.72,27701800.0
2025-08-21,503.69,507.63,502.72,504.24,18418400.0
2025-08-22,504.25,510.73,502.41,507.23,24309100.0
2025-08-25,506.63,508.19,504.12,504.26,21621700.0
2025-08-26,504.36,504.98,498.51,502.04,30816400.0
2025-08-27,502.0,507.29,499.9,506.74,17257200.0
2025-08-28,507.055,510.86,505.5,509.64,17845778.0
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0
2025-09-02,500.47,506.0,496.81,505.12,18104100.0
2025-09-03,503.79,507.79,502.32,505.35,16215400.0
2025-09-04,504.3,508.15,503.15,507.97,15497700.0
2025-09-05,509.07,511.97,492.37,495.0,31971700.0
2025-09-08,498.11,501.2,495.03,498.2,16745200.0
2025-09-09,501.43,502.25,497.7,498.41,14349500.0
2025-09-10,502.98,503.23,496.72,500.37,21591300.0
2025-09-11,502.25,503.17,497.88,501.01,18654800.0
2025-09-12,506.65,512.55,503.85,509.9,23612600.0
2025-09-15,508.75,515.47,507.0,515.36,16987592.0
2025-09-16,516.88,517.23,508.6,509.04,19688100.0
2025-09-17,510.62,511.29,505.93,510.02,15790000.0
2025-09-18,511.49,513.07,507.66,508.45,18901300.0
2025-09-19,510.56,519.3,510.31,517.93,52371500.0
2025-09-22,515.59,517.74,512.54,514.45,19989800.0
2025-09-23,513.8,514.59,507.31,509.23,19788300.0
2025-09-24,510.38,512.48,506.92,510.15,13523900.0
2025-09-25,508.3,510.01,505.04,507.03,15748400.0
2025-09-26,510.06,513.94,506.62,511.46,16200700.0
2025-09-29,511.5,516.85,508.88,514.6,17607600.0
2025-09-30,513.24,518.16,509.66,517.95,19712400.0
2025-10-01,514.8,520.505,511.69,519.71,22414115.0
2025-10-02,517.64,521.6,510.68,515.74,21208000.0
2025-10-03,517.1,520.49,515.0,517.35,15104200.0
2025-10-06,518.61,531.03,518.2,528.57,21365200.0
2025-10-07,528.29,529.8,521.44,523.98,14601600.0
2025-10-08,523.28,526.95,523.09,524.85,13344800.0
2025-10-09,522.34,524.33,517.4,522.4,18324500.0
2025-10-10,519.64,523.58,509.63,510.96,24065400.0
2025-10-13,516.41,516.41,511.68,514.05,14271600.0
2025-10-14,510.23,515.28,506.0,513.57,14669900.0
2025-10-15,514.96,517.19,510.0,513.43,14682400.0
2025-10-16,512.58,516.85,508.13,511.61,15518700.0
2025-10-17,509.04,515.48,507.31,513.58,19798500.0
2025-10-20,514.61,518.7,513.43,516.79,14656200.0
2025-10-21,517.5,518.69,513.04,517.66,15574000.0
2025-10-22,521.15,525.23,517.71,520.54,18947700.0
2025-10-23,522.46,523.95,518.61,520.56,13989600.0
2025-10-24,522.79,525.35,520.71,523.61,15517500.0
2025-10-27,531.78,534.58,529.01,531.52,18688800.0
2025-10-28,550.0,553.72,540.77,542.07,29909300.0
2025-10-29,544.94,546.27,536.73,541.55,35368400.0
2025-10-30,530.48,534.97,522.12,525.76,40931700.0
2025-10-31,528.88,529.32,515.1,517.81,33978900.0
2025-11-03,519.805,524.96,514.59,517.03,22312524.0
2025-11-04,511.83,515.55,507.84,514.33,20688846.0
2025-11-05,513.32,514.83,506.575,507.16,22927843.0
2025-11-06,505.36,505.7,495.81,497.1,27048995.0
2025-11-07,496.68,499.377,493.25,496.82,23914021.0
2025-11-10,500.04,506.85,498.8,506.0,26085200.0
2025-11-11,504.8,509.6,502.3488,508.68,16929541.0
2025-11-12,509.06,511.67,499.1201,511.14,26372100.0
2025-11-13,510.31,513.5,501.29,503.29,25254700.0
2025-11-14,498.23,511.6,497.44,510.18,28491700.0
2025-11-17,508.445,512.12,504.92,507.49,19053569.0
2025-11-18,495.09,502.98,486.78,493.79,32728726.0
2025-11-19,490.1,495.1872,482.83,487.12,22340405.0
2025-11-20,492.71,493.57,476.06,478.43,25526443.0
2025-11-21,478.39,478.92,468.27,472.12,31397484.0
2025-11-24,475.0,476.9,468.02,474.0,32598344.0
2025-11-25,474.07,479.15,464.89,476.99,27992800.0
2025-11-26,486.31,488.31,481.2,485.5,25709100.0
2025-11-28,487.595,492.63,486.65,492.01,10514063.0
2025-12-01,488.44,489.86,484.65,486.74,23944100.0
2025-12-02,486.72,493.5,486.32,490.0,19549000.0
2025-12-03,476.29,484.24,475.2,477.73,33458975.0
2025-12-04,479.52,481.322,476.49,480.84,21899020.0
2025-12-05,482.5,483.4,478.8801,483.16,22109742.0
2025-12-08,484.885,492.3,484.38,491.02,20801963.0
2025-12-09,489.34,492.1,488.5001,492.02,14081114.0
2025-12-10,484.03,484.25,475.08,478.56,34464624.0
2025-12-11,476.56,486.03,475.86,483.47,23182196.0
2025-12-12,479.82,482.45,476.36,478.53,20743536.0
2025-12-15,480.1,480.7205,472.52,474.82,23099397.0
2025-12-16,471.905,477.89,470.88,476.39,19938039.0
2025-12-17,476.905,479.88,475.22,476.12,23237698.0
2025-12-18,478.19,489.6,477.89,483.98,26736126.0
2025-12-19,487.36,487.85,482.49,485.92,58921425.0
2025-12-22,486.105,488.73,482.69,484.92,15989056.0
2025-12-23,484.88,487.8299,484.74,486.85,14566748.0
2025-12-24,485.68,489.16,484.83,488.02,5855900.0
2025-12-26,486.705,488.12,485.96,487.71,8723088.0
2025-12-29,486.705,488.35,484.18,487.1,10816574.0
2025-12-30,485.95,489.67,485.5,487.48,12903172.0
2025-12-31,487.84,488.14,483.3,483.62,15601600.0
2026-01-02,484.385,484.66,470.16,472.94,25467273.0
2026-01-05,473.95,476.0529,469.51,472.85,24752522.0
2026-01-06,473.8,478.7367,469.75,478.51,23037665.0
2026-01-07,479.76,489.7,477.95,483.47,25547100.0
2026-01-08,480.578,482.66,475.86,478.11,18098810.0
2026-01-09,474.06,479.82,472.2,479.28,18484000.0
2026-01-12,476.67,480.96,475.6803,477.18,21109977.0
2026-01-13,474.675,475.76,465.95,470.67,27617535.0
2026-01-14,466.345,468.2,457.1701,459.38,28117173.0
2026-01-15,466.345,464.12,455.91,456.66,23015084.0
2026-01-16,457.83,463.19,456.48,459.86,33795700.0
2026-01-20,451.43,456.8,449.28,454.52,25927390.0
2026-01-21,452.35,452.69,438.685,444.11,37424042.0
2026-01-22,448.04,452.84,444.735,451.14,25018425.0
2026-01-23,451.86,471.1,450.6,465.95,37533469.0
2026-01-26,465.305,474.25,462.0,470.28,28716046.0
2026-01-27,473.645,482.87,473.16,480.58,29078464.0
2026-01-28,483.13,483.74,478.0,481.63,32450441.0
2026-01-29,439.865,442.3,421.02,433.5,128194143.0
2026-01-30,439.17,439.47,426.45,430.29,55377986.0
2026-02-02,430.255,430.736,422.25,423.37,41784456.0
2026-02-03,422.01,422.01,408.57,411.21,56864712.0
2026-02-04,411.0,419.8,409.24,414.19,44796800.0
2026-02-05,407.77,408.3,392.33,393.67,65025347.0
2026-02-06,399.165,401.79,392.92,401.14,52425974.0
2026-02-09,404.8,414.89,400.87,413.6,44443596.0
2026-02-10,419.62,423.68,412.7,413.27,44798127.0
2026-02-11,416.094,416.46,401.01,404.37,41831640.0
2026-02-12,405.0,406.2,398.01,401.84,39706158.0
2026-02-13,404.45,405.54,398.05,401.32,34041200.0
2026-02-17,399.255,400.52,394.525,396.86,31844692.0
2026-02-18,398.2,402.56,396.32,399.6,23013887.0
2026-02-19,400.69,404.43,396.67,398.46,28133600.0
2026-02-20,396.15,400.1159,395.16,397.23,31825617.0
2026-02-23,395.19,395.31,383.1,384.47,42920481.0
2026-02-24,384.14,389.36,381.74,389.0,32741944.0
2026-02-25,390.53,401.47,390.16,400.6,43514700.0
2026-02-26,404.635,407.49,398.74,401.72,33954921.0
2026-02-27,390.88,396.82,389.88,392.74,51276300.0
2026-03-02,392.76,401.19,390.63,398.55,32492755.0
2026-03-03,393.14,406.7,392.68,403.93,37947881.0
2026-03-04,401.162,411.0326,400.31,405.2,35644323.0
2026-03-05,404.42,411.61,404.4,410.68,38912100.0
2026-03-06,409.3,413.05,408.5101,408.96,30792826.0
2026-03-09,404.915,410.21,403.5,409.41,30029299.0
2026-03-10,410.03,410.2,402.93,405.76,31655300.0
2026-03-11,405.84,409.01,401.59,404.88,25374129.0
2026-03-12,404.84,406.12,401.71,401.86,26767393.0
2026-03-13,400.72,404.8,394.25,395.55,26350249.0
2026-03-16,397.945,400.63,394.79,399.95,27676508.0
2026-03-17,400.135,404.4,397.745,399.41,24516587.0
2026-03-18,397.045,398.0,391.0,391.79,25784138.0
2026-03-19,390.03,392.49,387.06,389.02,24689447.0
2026-03-20,386.79,387.0,380.12,381.87,50771400.0
